comb 0.296296296296
dollar 0.236714975846
haircut 0.222222222222
metaphor 0.222222222222
sequence 0.222222222222
shampoo 0.222222222222
eighty 0.181818181818
christmas 0.128104575164
hair 0.110864745011
cent 0.104821802935
gift 0.0998980632011
flat 0.0898876404492
seven 0.0769230769231
package 0.074074074074
basement 0.074074074074
chain 0.060263653484
watch 0.0598290598292
buy 0.0591016548463
present 0.0590133702168
income 0.0555555555555
accurate 0.0444444444444
shave 0.0444444444444
pier 0.031746031746
couch 0.031746031746
penny 0.0289855072464
expensive 0.0277777777777
what 0.026936026936
twenty 0.0263296471827
look 0.0195129817771
gas 0.0185185185185
immediate 0.017094017094
brown 0.016016016016
again 0.015873015873
sparkle 0.0138888888889
second 0.0138348465197
serious 0.013468013468
window 0.0128899200825
metal 0.0123456790123
beautiful 0.0118455342336
exchange 0.0116959064327
nice 0.0111111111111
store 0.0107095046854
week 0.0106135986733
expression 0.00987654320987
envy 0.00966183574878
who 0.00966183574878
mirror 0.00888888888888
obtain 0.00888888888888
scent 0.008547008547
leather 0.00823045267489
do 0.00823045267489
you 0.00772946859903
coffee 0.00766283524903
just 0.00766283524903
rare 0.00766283524903
thin 0.00746965452847
beard 0.00716845878135
art 0.00705467372133
cut 0.00699300699301
finger 0.0068376068376
gray 0.00680272108844
table 0.00657894736842
silent 0.00653594771241
slender 0.00653594771241
rapid 0.0063492063492
sixty 0.0063492063492
skirt 0.0063492063492
length 0.00630417651694
give 0.00609161793372
card 0.006006006006
quick 0.00596569724086
palm 0.005698005698
labor 0.00555555555555
million 0.00542005420054
smile 0.0053547523427
button 0.005291005291
expense 0.005291005291
two 0.00516795865633
period 0.00516795865633
home 0.0050735667174
flash 0.0050505050505
vegetable 0.0050505050505
inside 0.0050505050505
count 0.00493827160493
sob 0.00493827160493
powder 0.00493827160493
young 0.00491778085139
letter 0.00475341651812
dim 0.0047281323877
design 0.0041928721174
receive 0.0041928721174
pan 0.00396825396825
brilliant 0.00396825396825
string 0.00396825396825
hang 0.00389863547758
result 0.00383141762452
one 0.00376647834275
door 0.00371920037192
gone 0.0036496350365
cat 0.00349956255468
fast 0.003367003367
mighty 0.003367003367
dull 0.0033167495854
put 0.00330749354005
close 0.00320898515844
simple 0.0031746031746
fence 0.0031746031746
read 0.00315208825847
peculiar 0.00312989045383
scream 0.00312989045383
breeze 0.00312989045383
pure 0.00304414003044
precious 0.00304414003044
time 0.00302686341278
honor 0.0026455026455
day 0.00252640088929
object 0.00246913580247
hell 0.0024154589372
wake 0.0024154589372
forty 0.0024154589372
eye 0.00239754251892
habit 0.00236406619385
something 0.0023282887078
say 0.00224608689549
tomorrow 0.00224466891133
sign 0.00217864923747
minute 0.00213162803091
mistake 0.00205761316872
ring 0.00203873598369
wear 0.0020202020202
white 0.00194552529183
happy 0.001924001924
cook 0.00191570881226
eight 0.00188323917137
hour 0.00186741363212
dry 0.00173611111111
direction 0.00167084377611
color 0.00162206001622
pocket 0.00161030595813
good 0.00160739401246
first 0.0015600624025
tiny 0.00154320987654
doubt 0.00153256704981
head 0.00149365197909
make 0.00148698884758
lord 0.00146198830409
little 0.00145662180271
knee 0.001443001443
paper 0.00143369175627
kill 0.00141542816702
company 0.0014064697609
forget 0.00137174211248
love 0.00137174211248
later 0.00135501355013
next 0.00129011449766
way 0.00127551020408
hand 0.00126262626263
box 0.00124843945069
power 0.001221001221
month 0.0012012012012
reason 0.00119474313023
back 0.00116822429907
late 0.00116346713205
fact 0.0011396011396
wrong 0.00111669458403
surprise 0.00111111111111
hot 0.00107353730542
change 0.00104821802935
family 0.00104329681794
room 0.00102053833397
may 0.000985464400098
old 0.000983767830792
grow 0.000974658869395
corner 0.000922083909635
money 0.000907029478457
word 0.000906104881639
fall 0.000896057347669
face 0.000896057347669
grandfather 0.000885347498892
nobody 0.000838574423479
see 0.000813008130082
use 0.00080224628961
last 0.000792942808999
able 0.000788022064617
answer 0.00077429345722
joy 0.000771604938271
merry 0.000763650248186
girl 0.000762340384981
hundred 0.000728597449908
fine 0.000714540907466
else 0.000698812019566
please 0.000692281066112
least 0.000687994496043
person 0.000679578661229
town 0.000663349917081
ready 0.000655522779416
gold 0.000624219725343
spirit 0.000597371565113
queen 0.000587889476778
away 0.000586338317208
island 0.000574217628481
hope 0.000566893424036
bright 0.000561167227833
alone 0.0005500550055
long 0.000539701814747
god 0.00053676865271
dark 0.000522875816993
pretty 0.000506200961781
large 0.000496031746031
open 0.000479961603071
and 0.000469814423302
cry 0.000443557329784
full 0.000421674045962
set 0.000421674045962
kind 0.000406256347755
air 0.000394011032309
know 0.000383637845873
go 0.000382317801672
name 0.000381825124093
mind 0.000370988684845
red 0.00036791758646
moment 0.000361925443358
anything 0.000354987575435
keep 0.000351617440225
find 0.000313873195229
dear 0.000310366232154
poor 0.000299895036737
new 0.00028417163967
heart 0.000282725473565
side 0.000282007896221
nothing 0.000279173646008
father 0.000262363898727
life 0.000247739378174
want 0.000243932186852
year 0.000228388717597
house 0.000221116639027
place 0.000215123158008
many 0.00019823570225
tell 0.000171998624011
boy 0.000155074823602
must 0.000147069637473
get 0.000143926309729
child 0.000142908181493
man 0.000118962645729
