"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3EHIMLB7F7ZNKTBL87RW8QZ8ZDFH8X","www.funwithasl.net/static/peace.mp4","autumn","forest","peace","bark","trophy","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:14:29 UTC 2014"
"3VMHWJRYHVGTLYLNLPFOL44OA7CFX6","www.funwithasl.net/static/England.mp4","familiar","green","melt","rival","england","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:14:37 UTC 2014"
"3T5ZXGO9DEOFHIBB0NE3UOODP9IZQG","www.funwithasl.net/static/prince.mp4","everyone","island","prince","top","slide","A2WNW8A4MOR7T7","Choice 1","Fri Jun 27 04:14:54 UTC 2014"
"39O0SQZVJN7W99K5U7BK8U5JB287RY","www.funwithasl.net/static/want.mp4","want","find","tomorrow","know","word","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:14:51 UTC 2014"
"3CKVGCS3PG5USDKYOXQGJP0SPQKS06","www.funwithasl.net/static/fight.mp4","fight","recruit","battery","skin","bull","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:14:54 UTC 2014"
"3NRZ1LDP7W6UH6AW0AZEUJY3KDXPZG","www.funwithasl.net/static/say.mp4","say","perhaps","curious","nothing","thin","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:14:58 UTC 2014"
"3B623HUYJ4QCA2P1J13VC46A8OWS8T","www.funwithasl.net/static/soul.mp4","soul","baby","dear","and","know","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:15:28 UTC 2014"
"38XPGNCKHT0RJTJ31TIN6FAC56V4V4","www.funwithasl.net/static/gun.mp4","gun","brother","twice","line","last","A841FR9QWUPT4","Choice 1","Fri Jun 27 04:15:36 UTC 2014"
"3Q7TKIAPOTA1NKQ2G0HAMA6GRLMDL7","www.funwithasl.net/static/cry.mp4","knuckle","cabin","cry","round","voice","A3UWM3KJYEL5XU","Choice 2","Fri Jun 27 03:45:53 UTC 2014"
"3WYZV0QBFJD38H97GNTS2ED3V9JXB5","www.funwithasl.net/static/man.mp4","must","man","i","gossip","father","A3760PCQD2MPIO","Choice 2","Fri Jun 27 03:51:48 UTC 2014"
