"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3A3KKYU7P3HK288EX7NFEBAQYD9WM6","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 12:57:40 UTC 2014"
"3RTFSSG7T860WQQTXVM0EYV1Y8JWL4","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:03:51 UTC 2014"
"3S8APUMBJXJM8VIMGTN6W7DWRBGFB3","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 13:03:42 UTC 2014"
"31D0ZWOD0AZQSHY47X4PYP6M3R70AQ","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:04:35 UTC 2014"
"3K8CQCU3KE1QKQTE982FRQZQ33JWN6","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:08:46 UTC 2014"
"3GITHABACYL48AV7VOD83JJ1ZWPN2G","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:09:30 UTC 2014"
"3X4Q1O9UBHMTCWSP2FUGEZ0E0MG7OV","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A1GKEEI844CEKI","Choice 3","Tue Jul 08 12:58:49 UTC 2014"
"35YHTYFL1G31H9GSLAE6XJ73U3WVFP","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A3VGZ0GXXNJIY8","Choice 3","Tue Jul 08 13:02:58 UTC 2014"
"3A9LA2FRWSEDZUCTGF3OOPG1QTHHXC","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:03:49 UTC 2014"
"3P520RYKCH692XY3A8RSFLE7R28U5F","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:07:20 UTC 2014"
"3PA41K45VN4BXW4QHF7V3Z54ARC7PC","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:09:53 UTC 2014"
"3HO4MYYR12O5L1YHFR1X7RS7NXJU6V","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A2P6VK1US8OTC5","Choice 5","Tue Jul 08 13:07:59 UTC 2014"

"3XDJY5RK5SLR6EU3W38IAT8TR6E4UL","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:00:15 UTC 2014"
"3MVY4USGB6N5Z81ESNFMPT0OBRUSI8","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1GKEEI844CEKI","Choice 1","Tue Jul 08 12:59:44 UTC 2014"
"3SR6AEG6W5T2ZZ23LBPQ73NASZBHYI","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:07:02 UTC 2014"
"3Y40HMYLL1II4GIDGEAN745RK1JXUT","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:07:45 UTC 2014"
"33TGB4G0LPH3433OG9KD28JP1NCXT2","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 12:58:57 UTC 2014"
"30Z7M1Q8UYK8A63721H4R4C4MPIA8M","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:00:46 UTC 2014"
"3T6EIBTM9LOMTUWMZZ1INVIZCDIAAQ","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:00:59 UTC 2014"
"30QQTY5GMKKOP1CMY16PD5S3I83U7U","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:01:55 UTC 2014"
"31HLTCK4BLV7V9CNWUKOF47FVIWVGO","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:07:38 UTC 2014"
"3M67TQBQQHO8OBMH7TNIR07F6V0A9B","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A1GKEEI844CEKI","Choice 3","Tue Jul 08 12:59:11 UTC 2014"
"389A2A304OIELWV2RB0G4KWA3US0CS","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A3VGZ0GXXNJIY8","Choice 3","Tue Jul 08 13:02:37 UTC 2014"
"32CXT5U14G3SPFH586YVR5OYTS9U8H","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:04:43 UTC 2014"
"3LOJFQ4BOXFQ3E8KV0597AT12S9KDH","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:05:44 UTC 2014"
"3ZXV7Q5FJBO5I0ASUTJ17RJE9WGFCA","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A3VGZ0GXXNJIY8","Choice 3","Tue Jul 08 13:08:18 UTC 2014"
"3JU8CV4BRLCII2WPY1OXELRZ0GMPOK","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1GKEEI844CEKI","Choice 3","Tue Jul 08 13:09:58 UTC 2014"
"3XUSYT70IT1OQO1GR7VROQESOU40DS","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A2P6VK1US8OTC5","Choice 4","Tue Jul 08 13:01:19 UTC 2014"
"3B0MCRZMBRU0328QD11C3LWPALIPP1","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1GKEEI844CEKI","Choice 4","Tue Jul 08 13:04:09 UTC 2014"
"3IVKZBIBJ0953DQUM5X1PHZ9BEFSHF","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","AOPG07J95DDJT","Choice 4","Tue Jul 08 13:04:16 UTC 2014"
"3FJ2RVH25Z6JJ8RDUEU3LIOHU7829W","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1GKEEI844CEKI","Choice 4","Tue Jul 08 13:09:21 UTC 2014"
"3KLL7H3EGD1LV57YG02604JGAI9VHN","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A3VGZ0GXXNJIY8","Choice 5","Tue Jul 08 13:00:20 UTC 2014"

"3OJX0UFJ0Z7S3K0FDY49R1J9DYRU96","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1GKEEI844CEKI","Choice 1","Tue Jul 08 12:59:21 UTC 2014"
"3OLZC0DJ8JFLR0IIMIKR0GKVAVOVIG","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1GKEEI844CEKI","Choice 1","Tue Jul 08 13:00:15 UTC 2014"
"39O6Z4JLX2XIHV7DL4KS3Q7AY8SXVI","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A3VGZ0GXXNJIY8","Choice 1","Tue Jul 08 13:01:50 UTC 2014"
"302OLP89DZ7AM9TKJDX9TQ8NCG3ACS","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A3VGZ0GXXNJIY8","Choice 1","Tue Jul 08 13:02:17 UTC 2014"
"3VQTAXTYN3LBRDFCBII5I7EZ1YUUBG","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A3VGZ0GXXNJIY8","Choice 1","Tue Jul 08 13:05:17 UTC 2014"
"3S37Y8CWI804YIJ8R3NJSHTQCMP4WK","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:06:08 UTC 2014"
"3P0I4CQYVY782BTQAN2S6FZVTDOWOL","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:08:31 UTC 2014"
"3087LXLJ6MGLO8FCIDQHCQHD07K0F3","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 12:59:47 UTC 2014"
"3VJ4PFXFJ37683AK54I9NWUTJG9UAL","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A1GKEEI844CEKI","Choice 2","Tue Jul 08 12:59:03 UTC 2014"
"3YLPJ8OXX8DJNIOY18J5U07XLOV4XD","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 12:59:50 UTC 2014"
"307L9TDWJYSTTSRQZORDMTOT5APN3R","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 13:01:19 UTC 2014"
"3I01FDIL6M8VMY4U6UZ57E77LSND2O","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:05:55 UTC 2014"
"3H6W48L9F4PQNB5RPNF7VF4L3IKWP2","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:08:38 UTC 2014"
"3PZDSVZ3J5HEBOAUZ2WWWYGZJALN4C","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 13:09:10 UTC 2014"
"3ICOHX7ENCBTIUFGN26BU8WDO650EL","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A3VGZ0GXXNJIY8","Choice 3","Tue Jul 08 13:00:43 UTC 2014"
"3MJ9GGZYO36XOR1IMK83HDZ10PQ2AB","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1GKEEI844CEKI","Choice 3","Tue Jul 08 13:05:21 UTC 2014"
"3HEM8MA6H9CL3E95DEG13QMZFH4PQS","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A1GKEEI844CEKI","Choice 3","Tue Jul 08 13:09:04 UTC 2014"
"3TD33TP5DL2RC41E5D1EI625UV3ABL","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A3VGZ0GXXNJIY8","Choice 4","Tue Jul 08 12:59:22 UTC 2014"
"38XPGNCKHT0RJTJ31TIN6FAC5DN4VA","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A2P6VK1US8OTC5","Choice 4","Tue Jul 08 13:06:54 UTC 2014"
"3WGCNLZJKF8OXDMYNQZR2VX2TM9D17","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A2P6VK1US8OTC5","Choice 5","Tue Jul 08 13:09:14 UTC 2014"

"3VADEH0UHCXXGUOI5I56YQ10X5PPSH","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:01:06 UTC 2014"
"32PT7WK7DMFK7G0DAUDAQOCZR6ND3Z","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","AOPG07J95DDJT","Choice 1","Tue Jul 08 13:03:29 UTC 2014"
"3G3AJKPCXLS8NNE86457DEE6NUP4YJ","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A2P6VK1US8OTC5","Choice 1","Tue Jul 08 13:08:25 UTC 2014"
"3VEI3XUCZRXLFFO5QT518GW4B36PRT","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 13:03:59 UTC 2014"
"3FVBZG9CLJE5246ID3EHFBTQGMX0H1","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:04:56 UTC 2014"
"3YOAVL4CA0H8SDOD2Q7QRLN8TOT4ZA","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:05:18 UTC 2014"
"3BKZLF990ZZFCS1641CKGHFBJM6QYM","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:08:54 UTC 2014"
"3T2EL38U0MKQCNBWZ5QIX382HGCQXG","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A3VGZ0GXXNJIY8","Choice 2","Tue Jul 08 13:08:42 UTC 2014"
"3VO4XFFP15MWX855HSMK34VEFNY7Q3","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A2P6VK1US8OTC5","Choice 2","Tue Jul 08 13:09:25 UTC 2014"
"3NKW03WTLM7BNN66P0UWVKUV8E6WQT","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1GKEEI844CEKI","Choice 2","Tue Jul 08 13:09:50 UTC 2014"
"39O0SQZVJN7W99K5U7BK8U5JB907R4","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:03:39 UTC 2014"
"3P7QK0GJ3TLYPZ9QYCO2Y6QA9AWZ28","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:06:19 UTC 2014"
"3WRBLBQ2GR8R28B7TXWZUBHP1MK0G2","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:07:30 UTC 2014"
"3A520CCNWN0PJ7DYF434JE8QXSGAEL","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A2P6VK1US8OTC5","Choice 3","Tue Jul 08 13:09:04 UTC 2014"
"3MQY1YVHS3K2716ASY8ZCOJ7I7B2B6","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1GKEEI844CEKI","Choice 4","Tue Jul 08 13:00:07 UTC 2014"
"3AC6MFV69KI24PC8HXR9LAWCYTFHZ9","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A2P6VK1US8OTC5","Choice 4","Tue Jul 08 13:04:10 UTC 2014"
"3TFJJUELSHPLH6YG6Y4UN8PP0SB2CD","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A2P6VK1US8OTC5","Choice 4","Tue Jul 08 13:06:39 UTC 2014"
"3PN6H8C9R4QKR1ZYJ9SKDWQ5XGFADS","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A2P6VK1US8OTC5","Choice 4","Tue Jul 08 13:06:46 UTC 2014"
"366FYU4PTGPVVKMKRVGTDSBM24AKEA","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A1GKEEI844CEKI","Choice 4","Tue Jul 08 13:08:12 UTC 2014"
"3OZ4VAIBEXFHMB2O405RCHZVNADVJS","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A3VGZ0GXXNJIY8","Choice 5","Tue Jul 08 13:04:58 UTC 2014"

"34KYK9TV2R8VC0N8MDN536WBG2MBSW","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A2QLSHXNCHBRN4","Choice 1","Wed Jul 09 01:30:14 UTC 2014"
"3VW0145YLYCYWO8FQ840PLGIWIDJMD","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A2QLSHXNCHBRN4","Choice 1","Wed Jul 09 01:30:30 UTC 2014"
"351S7I5UG9W4E6TF29J0205I18NJND","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A2QLSHXNCHBRN4","Choice 1","Wed Jul 09 01:30:22 UTC 2014"
"33K3E8REWWVK6JB0DB9IBCN2NB3X8R","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A1X258MWJFEMTW","Choice 1","Wed Jul 09 01:41:09 UTC 2014"
"3PR3LXCWSFZKKOUAI3FWB8ID7HLX9G","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A18TCR555RWUZV","Choice 1","Wed Jul 09 01:54:18 UTC 2014"
"39HYCOOPKOLLT28NGCIPMNL5RYGMD2","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A2QLSHXNCHBRN4","Choice 2","Wed Jul 09 01:30:05 UTC 2014"
"3SR6AEG6W5T2ZZ23LBPQ73NASZMYHA","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A2QLSHXNCHBRN4","Choice 2","Wed Jul 09 01:31:33 UTC 2014"
"3X55NP42EOGTWD33F345QITO5Q2P33","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A2QLSHXNCHBRN4","Choice 2","Wed Jul 09 01:34:04 UTC 2014"
"373L46LKP763608C5WRKA8OE7DIJK8","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A2QLSHXNCHBRN4","Choice 2","Wed Jul 09 01:34:16 UTC 2014"
"3FW4EL5A3LO8JO6E95FOBVG3O2B22J","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A1X258MWJFEMTW","Choice 2","Wed Jul 09 01:35:01 UTC 2014"
"3CMV9YRYP31EQ6QUQW3LP81TWDNJLB","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A2QLSHXNCHBRN4","Choice 2","Wed Jul 09 01:36:43 UTC 2014"
"3R16PJFTS3RD3IPR2P4G46ZVPGT4K3","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1X258MWJFEMTW","Choice 2","Wed Jul 09 01:41:24 UTC 2014"
"3WRKFXQBOB72VUDNRT7B7FOPSC1YI3","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A18TCR555RWUZV","Choice 2","Wed Jul 09 01:53:44 UTC 2014"
"3NRZ1LDP7W6UH6AW0AZEUJY3KL1ZPA","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A18TCR555RWUZV","Choice 2","Wed Jul 09 01:55:47 UTC 2014"
"3KVQ0UJWPXLMU1N8586TX9Z4CJW5W4","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A2QLSHXNCHBRN4","Choice 3","Wed Jul 09 01:37:49 UTC 2014"
"3QD8LUVX4XY1J1SYFD2FZSDBLL25XX","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A18TCR555RWUZV","Choice 3","Wed Jul 09 01:57:06 UTC 2014"
"30Y6N4AHYPWCQILFLKE68MFFXLFRDV","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1X258MWJFEMTW","Choice 4","Wed Jul 09 01:37:34 UTC 2014"
"3VLL1PIENQOCW6YVLAMZ5JTDAG5ZOT","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A2QLSHXNCHBRN4","Choice 5","Wed Jul 09 01:29:54 UTC 2014"
"3LG268AV386HIOZFHFPQE4X0XXGREO","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A2QLSHXNCHBRN4","Choice 5","Wed Jul 09 01:30:42 UTC 2014"
