"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3YLTXLH3DF68QLA2UOT7UCUYONGHPI","www.funwithasl.net/static/window.mp4","away","story","window","eye","tornado","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:12:46 UTC 2014"
"385MDVINFCFU102TUAANYJI9UCMJWJ","www.funwithasl.net/static/pepper.mp4","right","jury","pepper","white","sentence","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:14:23 UTC 2014"
"3YD0MU1NC214ASYOSWPYD4G9BYKA7T","www.funwithasl.net/static/cabin.mp4","yes","make","cabin","thursday","mermaid","A2M18L7COHRV57","Word 3","Fri Jun 27 00:15:49 UTC 2014"
"3L55D8AUFAXBIRRNZJBPWCQUF0ECYY","www.funwithasl.net/static/jury.mp4","pepper","begin","jury","put","half","A2M18L7COHRV57","Word 3","Fri Jun 27 00:14:12 UTC 2014"
"3AXFSPQOYQYSQEGY4L0NUVW9Z9XFJI","www.funwithasl.net/static/mighty.mp4","moonlight","peace","mighty","earth","autumn","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:15:38 UTC 2014"
"38LRF35D5LW6OIBZWP3Z0OGNDZPU3J","www.funwithasl.net/static/shadow.mp4","comet","circle","sand","full","shadow","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:18:03 UTC 2014"
"359AP8GAGGKS37VMCALPJZ6XB157CS","www.funwithasl.net/static/peace.mp4","autumn","forest","peace","bark","trophy","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:15:40 UTC 2014"
"3YGYP136419LCUCSAES94RR9BHCRNS","www.funwithasl.net/static/first.mp4","say","bird","pan","lady","first","A2M18L7COHRV57","Word 3","Fri Jun 27 00:16:05 UTC 2014"
"3TCFMTM8HEO1U3OIQ1FA6C6YWOS21H","www.funwithasl.net/static/London.mp4","road","keep","say","london","hard","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:19:32 UTC 2014"
"3MXX6RQ9EV5EE9M7FH9O0NLUJIU4PJ","www.funwithasl.net/static/bison.mp4","robe","red","great","yellow","bison","AO3XB5I5QNNUI","Word 3","Fri Jun 27 00:19:04 UTC 2014"
"3VI0PC2ZAYKNRBYGKSYE8YD2282OX0","www.funwithasl.net/static/man.mp4","railway","morning","man","park","make","A2M18L7COHRV57","Word 3","Fri Jun 27 00:18:16 UTC 2014"
"3YKP7CX6G2F9T23GYAPU8F0FTG57BL","www.funwithasl.net/static/kid.mp4","put","manage","say","kid","great","A2WNW8A4MOR7T7","Word 3","Fri Jun 27 00:19:43 UTC 2014"
