AvatarTheLastAirbender 4 46 10 0 0 60  1
Blade 30 478 121 0 0 629  2
FromRussiaWithLove 36 716 187 0 0 939  3
KillingMeSoftly 36 720 189 0 0 945  4
TangoAndCash 39 727 189 0 0 955  5
JurassicPark 54 1670 466 0 0 2190  6
TheBlackScorpion 54 1671 467 0 0 2192  7
StevenSeagalLawman 54 1679 472 0 0 2205  8
DoctorWhoEnlightenment 55 1681 475 0 0 2211  9
AStreetcarNamedDesire 58 1726 488 0 0 2272  10
