"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3VW0145YLYCYWO8FQ840PLGIWH1JMZ","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:22:44 UTC 2014"
"368IUKXGA58STWQLY523XL58FGS6PC","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A3HB9PPUZU565U","Choice 3","Tue Jul 08 05:50:04 UTC 2014"
"3CMIQF80GNQDT8R0YIHSXQVIKCDQ6M","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:41:53 UTC 2014"
"3EHVO81VN5L59TR09MIHTGC0LE2H1K","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:58:18 UTC 2014"
"3OKP4QVBP2XN3L9PLZTSJHT2A8UGA7","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:11:38 UTC 2014"
"3EQVJH0T40L6ID39B52RZMVVDXSTH4","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:28:58 UTC 2014"
"3VO4XFFP15MWX855HSMK34VEFNXQ7L","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:46:09 UTC 2014"
"3O4VWC1GEW6XA205KQZLTM7CWQJJ3I","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A1IV0802ICNA0A","Choice 5","Tue Jul 08 05:35:39 UTC 2014"
"3JU8CV4BRLCII2WPY1OXELRZ0GLOPI","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A841FR9QWUPT4","Choice 2","Tue Jul 08 05:31:49 UTC 2014"
"3P888QFVX3U3IEX4YE3MEQH95C7OQ9","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:00:33 UTC 2014"
"34HEO7RUG6UESBI31AN4IL79CH5ARX","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:23:21 UTC 2014"
"3WYZV0QBFJD38H97GNTS2ED3VGCBXQ","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A3HB9PPUZU565U","Choice 1","Tue Jul 08 05:49:46 UTC 2014"

"3JHB4BPSFK90BRTYWPK4H0MKADLQ9X","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:18:58 UTC 2014"
"3OREP8RUT2BSMVEHRDTOESD8SQFGB2","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A3HB9PPUZU565U","Choice 3","Tue Jul 08 05:57:54 UTC 2014"
"32PT7WK7DMFK7G0DAUDAQOCZR6MD3Y","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:28:46 UTC 2014"
