"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3WGZLY9VCHM68D6JMB86H5KA7LOD8M","www.funwithasl.net/static/know.mp4","friend","anyway","ink","giggle","know","A1X258MWJFEMTW","Choice 5","Fri Jun 27 17:23:49 UTC 2014"
"3MIVREZQVHYKSNCP0MBT7900L07QKN","www.funwithasl.net/static/love.mp4","face","butterfly","summer","love","daisy","A1X258MWJFEMTW","Choice 4","Fri Jun 27 17:24:01 UTC 2014"
"386T3MLZLNVC9T5PAZKB2Y0RDWF80O","www.funwithasl.net/static/way.mp4","done","grape","way","man","white","A1X258MWJFEMTW","Choice 3","Fri Jun 27 17:24:31 UTC 2014"
"3D1UCPY6GG98QL4MTM2U4WYYG8Z83J","www.funwithasl.net/static/wind.mp4","sad","spirit","light","wind","give","AKFH16PLQSYHY","Choice 4","Fri Jun 27 17:24:14 UTC 2014"
"37G6BXQPLQLH6NKF400Q9ENV13BQE3","www.funwithasl.net/static/go.mp4","aunt","love","lady","go","i","AKFH16PLQSYHY","Choice 4","Fri Jun 27 17:24:02 UTC 2014"
"3K1H3NEY7LZL1SC159KU9I18V41GD5","www.funwithasl.net/static/little.mp4","time","get","frankfurt","nobody","little","AKFH16PLQSYHY","Choice 5","Fri Jun 27 17:24:36 UTC 2014"
"3VZYA8PITOYTMBMNC1D8QEQ0B6E05E","www.funwithasl.net/static/day.mp4","nothing","eye","day","white","gone","AKFH16PLQSYHY","Choice 5","Fri Jun 27 17:25:00 UTC 2014"
"3IQ9O0AYW6Z6E8ETHNKCZYWAD3HTIT","www.funwithasl.net/static/recall.mp4","recess","since","recall","energy","thunder","AKFH16PLQSYHY","Choice 3","Fri Jun 27 17:25:32 UTC 2014"
"38VTL6WC4ADQJ6I8K9OHI6KKNJT5YK","www.funwithasl.net/static/sunset.mp4","earth","wind","goose","sunset","winter","AKFH16PLQSYHY","Choice 4","Fri Jun 27 17:25:53 UTC 2014"
"3OLZC0DJ8JFLR0IIMIKR0GKVAOXVIB","www.funwithasl.net/static/bed.mp4","bed","baby","hope","time","put","A1X258MWJFEMTW","Choice 1","Fri Jun 27 17:24:58 UTC 2014"
"3MQKOF1EE2OHYE21KEOCVLNWPSRDW1","www.funwithasl.net/static/daughter.mp4","daughter","god","gold","day","bird","A1X258MWJFEMTW","Choice 1","Fri Jun 27 17:25:48 UTC 2014"
"3IZVJEBJ6AKM70SRLE05OJ7MP896ZT","www.funwithasl.net/static/city.mp4","daughter","advanced","city","service","ready","A3LFVI65XV1T46","Choice 3","Fri Jun 27 17:26:08 UTC 2014"
