"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3ZG552ORAM4HGF4GXFZZD0DELTFV2H","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","AO3XB5I5QNNUI","Choice 3","Sat Jun 28 00:56:23 UTC 2014"
"3CZH926SICEAHIXH63TD6BMQ5C9E4R","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","A3UWM3KJYEL5XU","Choice 4","Sat Jun 28 00:44:22 UTC 2014"
"35YHTYFL1G31H9GSLAE6XJ73UXKFVL","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","AO3XB5I5QNNUI","Choice 4","Sat Jun 28 00:46:34 UTC 2014"
"3OPLMF3EU5NA9WHF5UVDIFIA5Q4NLH","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","AO3XB5I5QNNUI","Choice 4","Sat Jun 28 00:47:37 UTC 2014"
"3I01FDIL6M8VMY4U6UZ57E77LMBD20","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","AO3XB5I5QNNUI","Choice 4","Sat Jun 28 00:47:45 UTC 2014"
"3BAWBGQGYLZO2G1M3RGU9RUMW967VE","www.funwithasl.net/static/sign17.mp4","music","sand","nothing","know","people","AKFH16PLQSYHY","Choice 1","Sat Jun 28 06:11:55 UTC 2014"
"3PGQRAZX02KRP8GJW51PBHUC14LSYV","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","AKFH16PLQSYHY","Choice 1","Sat Jun 28 06:13:43 UTC 2014"
"3I6NF2WGIGWQXFX8Q32BB6DGION5G8","www.funwithasl.net/static/sign20.mp4","sleigh","bread","shoot","cottage","wife","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:35:02 UTC 2014"
"3AFT28WXLF2Q1G9LL6YD5OQNEWKIOI","www.funwithasl.net/static/sign18.mp4","away","bed","boy","hand","eye","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:41:47 UTC 2014"
"35NNO802AVW8JV99KRY0QZQIOMFIN3","www.funwithasl.net/static/sign10.mp4","wish","breakfast","justice","people","house","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:43:28 UTC 2014"
"34F34TZU7WZ8PK4MGQLGAC2KQ6D2J8","www.funwithasl.net/static/sign2.mp4","bat","mother","home","bicycle","put","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:02:07 UTC 2014"
"3KQC8JMJGCS1JW5FWQW0H9RXJSA3HG","www.funwithasl.net/static/sign5.mp4","key","tea","cat","ill","lesson","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:02:15 UTC 2014"
"32K26U12DNO4JP2WU4JG9J4IIK9VDV","www.funwithasl.net/static/sign14.mp4","good","milk","bag","tomorrow","grandmother","A5A9QE4W8X1UI","Choice 2","Sat Jun 28 06:36:50 UTC 2014"
"3QO7EE372ONJZK8VU9Y086HAY7IQBP","www.funwithasl.net/static/sign7.mp4","guess","school","want","back","try","A234WZ4KX8IW07","Choice 2","Sat Jun 28 09:53:07 UTC 2014"
"3XDSWAMB22S29P0189UVJQNSGSIQCW","www.funwithasl.net/static/sign16.mp4","bird","fly","alone","leaf","cool","A1NJ1IJLKAS0Y4","Choice 2","Sat Jun 28 11:35:33 UTC 2014"
"39RRBHZ0AU17MQ7SMM8D0BNL62IZVX","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:35:50 UTC 2014"
"3OQQD2WO8I61FRGZ28ELHLSCJ5P3I9","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:36:54 UTC 2014"
"30QQTY5GMKKOP1CMY16PD5S3I2X7UP","www.funwithasl.net/static/sign1.mp4","dinner","grandfather","everything","last","room","A1SUU1QIRDZXJC","Choice 3","Sat Jun 28 10:52:16 UTC 2014"
"37Y5RYYI0P52P3Q9R9FNS3N3ZYRSXP","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:32:28 UTC 2014"
"3L2OEKSTW9A96O1AI7VKUQUBPAEY81","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:42:34 UTC 2014"
